satellite,hasAccess,distance_km
QF_1,1,2408.9780956561
QF_2,1,6599.5734720766
QF_3,0,NaN
QF_4,0,NaN
QF_5,0,NaN
QF_6,0,NaN
QF_7,0,NaN
QF_8,0,NaN
QF_9,1,7053.20036968949
QF_10,1,2858.1099283815
QF_11,1,4600.72968291088
QF_12,0,NaN
QF_13,0,NaN
QF_14,0,NaN
QF_15,0,NaN
QF_16,0,NaN
QF_17,0,NaN
QF_18,0,NaN
QF_19,1,4600.72968291063
QF_21,1,6383.20946051376
QF_22,0,NaN
QF_23,0,NaN
QF_24,0,NaN
QF_25,0,NaN
QF_26,0,NaN
QF_27,0,NaN
QF_28,1,7507.37321770928
QF_29,1,3611.88977395483
QF_30,1,2661.05953543613
QF_31,1,7377.46772998954
QF_32,0,NaN
QF_33,0,NaN
QF_34,0,NaN
QF_35,0,NaN
QF_36,0,NaN
QF_37,0,NaN
QF_38,0,NaN
QF_39,1,4999.61325245676
QF_40,1,4787.76745509909
QF_41,1,7406.66175497557
QF_42,0,NaN
QF_43,0,NaN
QF_44,0,NaN
QF_45,0,NaN
QF_46,0,NaN
QF_47,0,NaN
QF_48,0,NaN
QF_49,1,6926.67299011126
QF_50,1,6115.02530928089
QF_51,1,6443.11312523244
QF_52,0,NaN
QF_53,0,NaN
QF_54,0,NaN
QF_55,0,NaN
QF_56,0,NaN
QF_57,0,NaN
QF_58,0,NaN
QF_59,0,NaN
QF_60,1,6483.94794810056
QF_61,1,4627.987875755
QF_62,1,6527.51059287032
QF_63,0,NaN
QF_64,0,NaN
QF_65,0,NaN
QF_66,0,NaN
QF_67,0,NaN
QF_68,0,NaN
QF_69,0,NaN
QF_70,1,5863.49080392427
QF_71,1,2458.73338565945
QF_72,1,5752.73406901104
QF_73,0,NaN
QF_74,0,NaN
QF_75,0,NaN
QF_76,0,NaN
QF_77,0,NaN
QF_78,0,NaN
QF_79,0,NaN
QF_80,1,4361.31767617981
QF_81,1,2405.50331798613
QF_82,1,6824.43936627942
QF_83,0,NaN
QF_84,0,NaN
QF_85,0,NaN
QF_86,0,NaN
QF_87,0,NaN
QF_88,0,NaN
QF_89,1,6695.99621180287
QF_90,1,2263.43129183507
QF_91,1,4965.36577894488
QF_92,0,NaN
QF_93,0,NaN
QF_94,0,NaN
QF_95,0,NaN
QF_96,0,NaN
QF_97,0,NaN
QF_98,0,NaN
QF_99,1,4482.03124013523
QF_100,1,1220.44377331102
