satellite,distance_km
QF_1,2408.9780956561
QF_2,6599.5734720766
QF_9,7053.20036968949
QF_10,2858.1099283815
QF_11,4600.72968291088
QF_19,4600.72968291063
QF_21,6383.20946051376
QF_28,7507.37321770928
QF_29,3611.88977395483
QF_30,2661.05953543613
QF_31,7377.46772998954
QF_39,4999.61325245676
QF_40,4787.76745509909
QF_41,7406.66175497557
QF_49,6926.67299011126
QF_50,6115.02530928089
QF_51,6443.11312523244
QF_60,6483.94794810056
QF_61,4627.987875755
QF_62,6527.51059287032
QF_70,5863.49080392427
QF_71,2458.73338565945
QF_72,5752.73406901104
QF_80,4361.31767617981
QF_81,2405.50331798613
QF_82,6824.43936627942
QF_89,6695.99621180287
QF_90,2263.43129183507
QF_91,4965.36577894488
QF_99,4482.03124013523
QF_100,1220.44377331102
