Sat1,Sat2,Distance_km
STARLINK_1,STARLINK_2,659.308063101152
STARLINK_1,STARLINK_3,1317.12258137871
STARLINK_1,STARLINK_65,1317.12258137447
STARLINK_1,STARLINK_66,659.308063096812
STARLINK_1,STARLINK_131,1456.36564504025
STARLINK_1,STARLINK_824,1222.9120931668
STARLINK_1,STARLINK_825,567.33253960552
STARLINK_1,STARLINK_826,121.152000648499
STARLINK_1,STARLINK_827,759.427892341378
STARLINK_1,STARLINK_828,1415.25083340612
STARLINK_1,STARLINK_890,1371.75179434932
STARLINK_1,STARLINK_891,1469.2453803924
STARLINK_1,STARLINK_1521,1453.39461865579
STARLINK_2,STARLINK_3,659.308063094571
STARLINK_2,STARLINK_4,1317.12258137285
STARLINK_2,STARLINK_66,1317.12258137868
STARLINK_2,STARLINK_132,1461.34367774421
STARLINK_2,STARLINK_824,1254.11682480382
STARLINK_2,STARLINK_825,801.869236687501
STARLINK_2,STARLINK_826,759.427892341378
STARLINK_2,STARLINK_827,1172.44123774719
STARLINK_2,STARLINK_888,1455.07271738859
STARLINK_2,STARLINK_889,947.132419557898
STARLINK_2,STARLINK_890,733.575734986556
STARLINK_2,STARLINK_891,1021.62014606756
STARLINK_2,STARLINK_1521,1491.76870572796
STARLINK_2,STARLINK_1522,1432.59555166973
STARLINK_3,STARLINK_4,659.308063098502
STARLINK_3,STARLINK_5,1317.12258138611
STARLINK_3,STARLINK_67,1453.394618659
STARLINK_3,STARLINK_68,1491.7687057347
STARLINK_3,STARLINK_825,1351.91476189005
STARLINK_3,STARLINK_826,1415.25083340613
STARLINK_3,STARLINK_888,1097.78832777765
STARLINK_3,STARLINK_889,445.323184368765
STARLINK_3,STARLINK_890,243.032009701213
STARLINK_3,STARLINK_891,888.062905031198
STARLINK_3,STARLINK_954,1477.16064236163
STARLINK_3,STARLINK_1522,1465.48713697633
STARLINK_3,STARLINK_1523,1399.14871561361
STARLINK_4,STARLINK_5,659.308063106912
STARLINK_4,STARLINK_6,1317.12258138326
STARLINK_4,STARLINK_68,1432.59555167303
STARLINK_4,STARLINK_69,1465.48713698002
STARLINK_4,STARLINK_888,1073.08067223277
STARLINK_4,STARLINK_889,605.924046523086
STARLINK_4,STARLINK_890,669.95156754907
STARLINK_4,STARLINK_891,1181.45494179527
STARLINK_4,STARLINK_952,1407.78735940881
STARLINK_4,STARLINK_953,960.111359769647
STARLINK_4,STARLINK_954,850.169719766451
STARLINK_4,STARLINK_955,1177.53634370258
STARLINK_4,STARLINK_1523,1427.16706570057
STARLINK_4,STARLINK_1524,1353.38111012214
STARLINK_5,STARLINK_6,659.30806309396
STARLINK_5,STARLINK_7,1317.12258137012
STARLINK_5,STARLINK_69,1399.14871560945
STARLINK_5,STARLINK_70,1427.16706569834
STARLINK_5,STARLINK_888,1398.86064644832
STARLINK_5,STARLINK_889,1184.07115219387
STARLINK_5,STARLINK_890,1305.34101749014
STARLINK_5,STARLINK_952,1030.74038865549
STARLINK_5,STARLINK_953,400.56628389174
STARLINK_5,STARLINK_954,355.530730805838
STARLINK_5,STARLINK_955,980.0920265177
STARLINK_5,STARLINK_1018,1462.65606724318
STARLINK_5,STARLINK_1524,1377.25815110975
STARLINK_5,STARLINK_1525,1295.74420440725
STARLINK_6,STARLINK_7,659.308063095462
STARLINK_6,STARLINK_8,1317.12258138277
STARLINK_6,STARLINK_70,1353.38111011594
STARLINK_6,STARLINK_71,1377.25815110204
STARLINK_6,STARLINK_952,1001.36856368946
STARLINK_6,STARLINK_953,516.733999464741
STARLINK_6,STARLINK_954,631.066696819655
STARLINK_6,STARLINK_955,1181.20446986076
STARLINK_6,STARLINK_1016,1352.40317546144
STARLINK_6,STARLINK_1017,909.721301085172
STARLINK_6,STARLINK_1018,829.5003179292
STARLINK_6,STARLINK_1019,1188.14632007643
STARLINK_6,STARLINK_1525,1316.36386387586
STARLINK_6,STARLINK_1526,1226.81436675517
STARLINK_6,STARLINK_1527,1460.5058111446
STARLINK_7,STARLINK_8,659.308063106736
STARLINK_7,STARLINK_9,1317.12258139047
STARLINK_7,STARLINK_71,1295.74420441326
STARLINK_7,STARLINK_72,1316.36386388031
STARLINK_7,STARLINK_952,1342.8870154751
STARLINK_7,STARLINK_953,1113.79119603522
STARLINK_7,STARLINK_954,1239.29654452352
STARLINK_7,STARLINK_1016,1045.6491914487
STARLINK_7,STARLINK_1017,403.362858195365
STARLINK_7,STARLINK_1018,316.104021578616
STARLINK_7,STARLINK_1019,951.636089493598
STARLINK_7,STARLINK_1081,1358.02326120338
STARLINK_7,STARLINK_1082,1270.49913006499
STARLINK_7,STARLINK_1083,1496.28372626388
STARLINK_7,STARLINK_1526,1245.2532229863
STARLINK_7,STARLINK_1527,1147.29518038869
STARLINK_7,STARLINK_1528,1392.61287683543
STARLINK_8,STARLINK_9,659.308063101715
STARLINK_8,STARLINK_10,1317.12258137489
STARLINK_8,STARLINK_72,1226.8143667553
STARLINK_8,STARLINK_73,1245.25322299264
STARLINK_8,STARLINK_1016,1103.28714281465
STARLINK_8,STARLINK_1017,604.740554611899
STARLINK_8,STARLINK_1018,616.637709471652
STARLINK_8,STARLINK_1019,1122.81062703215
STARLINK_8,STARLINK_1080,1336.43265901257
STARLINK_8,STARLINK_1081,807.052109569853
STARLINK_8,STARLINK_1082,616.51409851111
STARLINK_8,STARLINK_1083,987.308590736372
STARLINK_8,STARLINK_1527,1164.88153462344
STARLINK_8,STARLINK_1528,1058.02387879546
STARLINK_8,STARLINK_1529,1319.51381929375
STARLINK_9,STARLINK_10,659.308063091868
STARLINK_9,STARLINK_11,1317.12258137049
STARLINK_9,STARLINK_72,1460.50581113939
STARLINK_9,STARLINK_73,1147.29518038478
STARLINK_9,STARLINK_74,1164.88153462132
STARLINK_9,STARLINK_1016,1483.05546586275
STARLINK_9,STARLINK_1017,1197.82427294593
STARLINK_9,STARLINK_1018,1235.51329015553
STARLINK_9,STARLINK_1080,1224.06904582317
STARLINK_9,STARLINK_1081,567.375279537251
STARLINK_9,STARLINK_1082,109.285504100863
STARLINK_9,STARLINK_1083,755.802896623615
STARLINK_9,STARLINK_1084,1412.35043097096
STARLINK_9,STARLINK_1145,1154.30169814267
STARLINK_9,STARLINK_1146,905.782803433495
STARLINK_9,STARLINK_1147,1081.85800990782
STARLINK_9,STARLINK_1528,1076.42699906865
STARLINK_9,STARLINK_1529,959.986373986283
STARLINK_9,STARLINK_1530,1243.17372917439
STARLINK_10,STARLINK_11,659.308063097719
STARLINK_10,STARLINK_12,1317.12258138646
STARLINK_10,STARLINK_73,1392.61287682684
STARLINK_10,STARLINK_74,1058.02387880301
STARLINK_10,STARLINK_75,1076.42699906296
STARLINK_10,STARLINK_76,1434.17452304099
STARLINK_10,STARLINK_1080,1437.51271483373
STARLINK_10,STARLINK_1081,926.798383021851
STARLINK_10,STARLINK_1082,716.284226207199
STARLINK_10,STARLINK_1083,1015.82420129481
STARLINK_10,STARLINK_1145,889.919064665645
STARLINK_10,STARLINK_1146,322.008685325212
STARLINK_10,STARLINK_1147,532.783689989225
STARLINK_10,STARLINK_1148,1153.61644629922
STARLINK_10,STARLINK_1209,1412.0111812439
STARLINK_10,STARLINK_1210,1082.43026256319
STARLINK_10,STARLINK_1211,1099.22632938704
STARLINK_10,STARLINK_1212,1450.30116826552
STARLINK_10,STARLINK_1466,1464.46630683569
STARLINK_10,STARLINK_1528,1434.17452304016
STARLINK_10,STARLINK_1529,981.355840610946
STARLINK_10,STARLINK_1530,854.350419534009
STARLINK_10,STARLINK_1531,1165.99057327022
STARLINK_11,STARLINK_12,659.308063107684
STARLINK_11,STARLINK_13,1317.12258136923
STARLINK_11,STARLINK_74,1319.51381930299
STARLINK_11,STARLINK_75,959.98637398871
STARLINK_11,STARLINK_76,981.355840607505
STARLINK_11,STARLINK_77,1365.72228643714
STARLINK_11,STARLINK_1082,1370.73364638562
STARLINK_11,STARLINK_1145,1055.32063443526
STARLINK_11,STARLINK_1146,505.343363431408
STARLINK_11,STARLINK_1147,513.910249923104
STARLINK_11,STARLINK_1148,1067.6226181176
STARLINK_11,STARLINK_1209,1273.92190911624
STARLINK_11,STARLINK_1210,690.428619471576
STARLINK_11,STARLINK_1211,442.225708358879
STARLINK_11,STARLINK_1212,884.329500668595
STARLINK_11,STARLINK_1213,1493.58820806666
STARLINK_11,STARLINK_1274,1203.50067670282
STARLINK_11,STARLINK_1275,1029.65310561363
STARLINK_11,STARLINK_1276,1237.63088070074
STARLINK_11,STARLINK_1339,1377.8173317176
STARLINK_11,STARLINK_1403,1447.57139471327
STARLINK_11,STARLINK_1466,1305.16889234045
STARLINK_11,STARLINK_1467,1232.69670442633
STARLINK_11,STARLINK_1468,1480.28022235495
STARLINK_11,STARLINK_1529,1365.72228643888
STARLINK_11,STARLINK_1530,881.539778984402
STARLINK_11,STARLINK_1531,742.53888400874
STARLINK_11,STARLINK_1532,1090.86965903124
STARLINK_12,STARLINK_13,659.308063079807
STARLINK_12,STARLINK_14,1317.12258135273
STARLINK_12,STARLINK_75,1243.17372918636
STARLINK_12,STARLINK_76,854.350419535778
STARLINK_12,STARLINK_77,881.53977898068
STARLINK_12,STARLINK_78,1298.70963595785
STARLINK_12,STARLINK_1146,1128.76737773974
STARLINK_12,STARLINK_1147,1054.19709228095
STARLINK_12,STARLINK_1148,1344.56575874994
STARLINK_12,STARLINK_1209,1451.4322938179
STARLINK_12,STARLINK_1210,804.229652734258
STARLINK_12,STARLINK_1211,224.570303349294
STARLINK_12,STARLINK_1212,568.32722414844
STARLINK_12,STARLINK_1213,1209.1356375977
STARLINK_12,STARLINK_1274,1085.20765807644
STARLINK_12,STARLINK_1275,569.192574706829
STARLINK_12,STARLINK_1276,580.280055170967
STARLINK_12,STARLINK_1277,1102.6307218094
STARLINK_12,STARLINK_1338,1391.21597611642
STARLINK_12,STARLINK_1339,987.713179783771
STARLINK_12,STARLINK_1340,936.061976371995
STARLINK_12,STARLINK_1341,1279.95541097895
STARLINK_12,STARLINK_1403,1151.53466137255
STARLINK_12,STARLINK_1404,1097.92978001821
STARLINK_12,STARLINK_1405,1394.03193341208
STARLINK_12,STARLINK_1466,1454.72248382141
STARLINK_12,STARLINK_1467,1060.88743462692
STARLINK_12,STARLINK_1468,996.959626304027
STARLINK_12,STARLINK_1469,1312.53492057424
STARLINK_12,STARLINK_1530,1298.70963597877
STARLINK_12,STARLINK_1531,779.470960329672
STARLINK_12,STARLINK_1532,626.39858593325
STARLINK_12,STARLINK_1533,1021.27187005773
STARLINK_13,STARLINK_14,659.308063092009
STARLINK_13,STARLINK_15,1317.12258138341
STARLINK_13,STARLINK_76,1165.99057326353
STARLINK_13,STARLINK_77,742.538884006304
STARLINK_13,STARLINK_78,779.470960330348
STARLINK_13,STARLINK_79,1235.98459245872
STARLINK_13,STARLINK_1210,1296.30083161275
STARLINK_13,STARLINK_1211,879.896352354246
STARLINK_13,STARLINK_1212,854.635679983474
STARLINK_13,STARLINK_1213,1244.72740359836
STARLINK_13,STARLINK_1274,1328.77630714558
STARLINK_13,STARLINK_1275,673.954809829377
STARLINK_13,STARLINK_1276,89.6911307007128
STARLINK_13,STARLINK_1277,656.639401851214
STARLINK_13,STARLINK_1278,1311.40213626056
STARLINK_13,STARLINK_1339,955.674273100394
STARLINK_13,STARLINK_1340,465.870558027744
STARLINK_13,STARLINK_1341,623.029835208478
STARLINK_13,STARLINK_1342,1193.79894681424
STARLINK_13,STARLINK_1403,1189.10331855733
STARLINK_13,STARLINK_1404,760.429655610238
STARLINK_13,STARLINK_1405,778.894930719494
STARLINK_13,STARLINK_1406,1224.32897766912
STARLINK_13,STARLINK_1467,1261.19183167713
STARLINK_13,STARLINK_1468,810.555692128162
STARLINK_13,STARLINK_1469,766.042145940032
STARLINK_13,STARLINK_1470,1175.03213354142
STARLINK_13,STARLINK_1531,1235.98459243786
STARLINK_13,STARLINK_1532,678.656465078522
STARLINK_13,STARLINK_1533,508.620184100601
STARLINK_13,STARLINK_1534,961.169003105579
STARLINK_14,STARLINK_15,659.30806311019
STARLINK_14,STARLINK_16,1317.12258137764
STARLINK_14,STARLINK_77,1090.86965902783
